Name,Web Main All Origin Links,Web Main First Party Links,Web Main Objects,Web Main Images,Web Main JS,Web Main HTML,Web Main CSS,Web Main First party Objects,Web Main First party Images,Web Main First party JS,Web Main First party HTML,Web Main First party CSS,Web Main Distinct First party servers,Web Main Distinct All servers,Web Mini All Origin Links,Web Mini First Party Links,Web Mini Objects,Web Mini Images,Web Mini JS,Web Mini HTML,Web Mini CSS,Web Mini First party Objects,Web Mini First party Images,Web Mini First party JS,Web Mini First party HTML,Web Mini First party CSS,Web Mini Distinct First party servers,Web Mini Distinct All servers,Mobile Main All Origin Links,Mobile Main First Party Links,Mobile Main Objects,Mobile Main Images,Mobile Main JS,Mobile Main HTML,Mobile Main CSS,Mobile Main First party Objects,Mobile Main First party Images,Mobile Main First party JS,Mobile Main First party HTML,Mobile Main First party CSS,Mobile Main Distinct First party servers,Mobile Main Distinct All servers,Mobile Mini All Origin Links,Mobile Mini First Party Links,Mobile Mini Objects,Mobile Mini Images,Mobile Mini JS,Mobile Mini HTML,Mobile Mini CSS,Mobile Mini First party Objects,Mobile Mini First party Images,Mobile Mini First party JS,Mobile Mini First party HTML,Mobile Mini First party CSS,Mobile Mini Distinct First party servers,Mobile Mini Distinct All servers
imgur.com,72,70,72,44,6,3,6,70,44,6,1,6,5,6,19,13,19,3,0,14,0,13,0,0,12,0,1,4,65,56,61,25,4,10,1,56,25,3,7,1,5,7,13,5,13,5,0,6,0,5,0,0,4,0,1,4
adobe.com,49,29,31,7,15,1,5,29,6,14,1,5,3,12,6,5,6,1,0,4,0,5,0,0,4,0,1,2,49,29,31,7,15,1,5,29,6,14,1,5,3,12,6,5,6,1,0,4,0,5,0,0,4,0,1,2
whatsapp.com,53,51,51,15,22,3,8,51,15,22,3,8,2,3,6,5,6,1,0,4,0,5,0,0,4,0,1,2,51,49,49,16,20,3,8,49,16,20,3,8,2,3,6,5,6,1,0,4,0,5,0,0,4,0,1,2
office.com,39,22,25,13,3,2,2,22,11,3,2,2,3,12,6,5,6,1,0,4,0,5,0,0,4,0,1,2,40,23,26,14,3,2,2,22,11,3,2,2,3,12,6,5,6,1,0,4,0,5,0,0,4,0,1,2
pornhub.com,100,0,79,51,21,0,7,0,0,0,0,0,0,9,6,5,6,1,0,4,0,5,0,0,4,0,1,2,69,0,44,15,20,0,9,0,0,0,0,0,0,13,7,6,7,1,0,5,0,6,0,0,5,0,1,2
fandom.com,58,2,50,30,2,2,3,2,0,0,2,0,1,13,6,5,6,1,0,4,0,5,0,0,4,0,1,2,58,2,51,31,2,2,3,2,0,0,2,0,1,11,6,5,6,1,0,4,0,5,0,0,4,0,1,2
soso.com,7,0,0,0,0,0,0,0,0,0,0,0,0,2,6,5,6,1,0,4,0,5,0,0,4,0,1,2,35,0,0,0,0,0,0,0,0,0,0,0,0,6,6,5,6,1,0,4,0,5,0,0,4,0,1,2
imdb.com,73,8,68,50,9,4,2,4,0,2,1,0,3,10,6,5,6,1,0,4,0,5,0,0,4,0,1,2,67,6,62,40,12,3,2,5,0,2,2,0,4,11,6,5,6,1,0,4,0,5,0,0,4,0,1,2
yandex.ru,78,21,23,16,1,4,0,21,14,1,4,0,1,7,6,5,6,1,0,4,0,5,0,0,4,0,1,2,36,11,11,5,1,2,0,11,5,1,2,0,1,5,6,5,6,1,0,4,0,5,0,0,4,0,1,2
naver.com,94,8,89,61,15,6,6,7,1,0,6,0,4,10,6,5,6,1,0,4,0,5,0,0,4,0,1,2,41,6,36,22,6,5,3,6,1,0,5,0,3,9,6,5,6,1,0,4,0,5,0,0,4,0,1,2
wikipedia.org,8,8,8,4,2,2,0,8,4,2,2,0,2,2,6,5,6,1,0,4,0,5,0,0,4,0,1,2,8,8,8,4,2,2,0,8,4,2,2,0,2,2,6,5,6,1,0,4,0,5,0,0,4,0,1,2
baidu.com,22,0,13,4,8,0,1,0,0,0,0,0,0,4,6,5,6,1,0,4,0,5,0,0,4,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5,6,1,0,4,0,5,0,0,4,0,1,2
