Name,Main Mobile size in bytes,Main Mobile All tags,Main Mobile Script tags,Main Mobile Image tags,Main Mobile Div tags,Main Mobile Hyperlink tags,Mini Mobile size in bytes,Mini Mobile all tags,Mini Mobile Script tags,Mini Mobile Image tags,Mini Mobile Div tags,Mini Mobile Hyperlink tags,Main Web size in bytes,Main Web all tags,Main Web Script tags,Main Web Image tags,Main Web Div tags,Main Web Hyperlink tags,Mini Web size in bytes,Mini Web all tags,Mini Web Script tags,Mini Web Image tags,Mini Web Div tags,Mini Web Hyperlink tags,Transcoded,Parsable
youtube.com,65216,92,9,3,32,8,0,0,0,0,0,0,252825,387,27,24,261,12,0,0,0,0,0,0,0,True
facebook.com,104991,176,19,1,84,14,0,0,0,0,0,0,125622,534,15,4,94,53,0,0,0,0,0,0,0,True
baidu.com,8815,55,6,2,9,18,48308,428,8,51,245,26,156265,131,13,4,22,32,48308,428,8,51,245,26,1,True
wikipedia.org,75978,57,1,1,10,6,65760,880,9,2,113,323,75978,57,1,1,10,6,65760,880,9,2,113,323,1,False
qq.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
tmall.com,3051,23,6,0,0,0,0,0,0,0,0,0,227524,295,11,3,91,56,0,0,0,0,0,0,0,True
taobao.com,23194,28,7,0,2,0,0,0,0,0,0,0,247683,253,15,36,110,24,0,0,0,0,0,0,0,True
yahoo.com,361031,1069,42,28,643,49,95416,1186,8,115,563,61,622429,921,38,48,325,109,95420,1186,8,115,563,61,1,True
amazon.com,132173,259,79,5,40,31,0,0,0,0,0,0,491626,916,65,67,164,155,0,0,0,0,0,0,0,True
vk.com,0,0,0,0,0,0,15483,82,7,1,27,14,0,0,0,0,0,0,15483,82,7,1,27,14,1,True
sohu.com,99826,919,10,19,222,318,145781,1073,9,33,368,341,211476,1725,16,103,319,507,145781,1073,9,33,368,341,1,True
twitter.com,5163,70,5,3,12,5,0,0,0,0,0,0,214477,671,10,3,202,42,0,0,0,0,0,0,0,False
yandex.ru,256232,435,7,0,193,62,67829,548,7,17,234,117,496329,539,21,4,210,105,67825,548,7,17,234,117,1,False
jd.com,113504,398,19,0,62,136,27363,210,8,13,113,38,113504,398,19,0,62,136,27359,210,8,13,113,38,1,True
sina.com.cn,213071,758,6,19,3,133,248979,2432,8,194,1135,472,571286,4748,99,178,827,2048,248979,2432,8,194,1135,472,1,False
weibo.com,10396,162,6,0,45,4,0,0,0,0,0,0,95618,114,15,1,14,34,0,0,0,0,0,0,0,True
instagram.com,34858,122,13,0,0,0,0,0,0,0,0,0,34379,121,12,0,0,0,0,0,0,0,0,0,0,True
reddit.com,19511,87,2,2,33,3,0,0,0,0,0,0,378201,1255,36,28,539,91,0,0,0,0,0,0,0,True
360.cn,76274,1304,22,121,171,436,39118,428,8,32,210,68,76274,1304,22,121,171,436,39114,428,8,32,210,68,1,True
live.com,3600,16,4,0,0,0,0,0,0,0,0,0,3600,16,4,0,0,0,0,0,0,0,0,0,0,True
netflix.com,80492,455,4,5,76,18,0,0,0,0,0,0,84881,457,6,5,76,18,0,0,0,0,0,0,0,True
blogspot.com,94478,290,3,42,25,16,0,0,0,0,0,0,94478,290,3,42,25,16,0,0,0,0,0,0,0,True
login.tmall.com,5826,28,7,0,0,0,0,0,0,0,0,0,13899,46,8,2,14,2,0,0,0,0,0,0,0,True
bilibili.com,69602,618,12,23,109,152,0,0,0,0,0,0,70483,617,12,22,109,152,0,0,0,0,0,0,0,True
twitch.tv,172596,197,11,12,93,13,0,0,0,0,0,0,81660,63,8,0,15,0,0,0,0,0,0,0,0,True
pornhub.com,0,0,0,0,0,0,63871,610,10,67,366,77,0,0,0,0,0,0,64248,599,10,65,360,78,1,True
yahoo.co.jp,272930,1132,29,6,610,108,0,0,0,0,0,0,276678,950,29,17,114,268,0,0,0,0,0,0,0,True
mail.ru,36222,101,6,12,23,20,0,0,0,0,0,0,509995,152,19,4,17,15,0,0,0,0,0,0,0,False
pages.tmall.com,6078,41,4,0,11,4,13599,56,7,2,24,5,14665,122,9,0,39,15,13599,56,7,2,24,5,1,True
aliexpress.com,148314,666,31,0,130,90,88347,865,7,99,605,84,41783,504,16,5,114,134,88344,865,7,99,605,84,1,True
alipay.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
porn555.com,0,0,0,0,0,0,390911,5565,8,176,867,1654,0,0,0,0,0,0,389883,5569,8,177,870,1654,1,True
bing.com,47231,51,8,0,17,6,0,0,0,0,0,0,91282,161,11,1,63,30,0,0,0,0,0,0,0,True
csdn.net,11506,103,18,1,18,26,40932,367,9,5,223,43,241407,1868,35,66,456,392,40932,367,9,5,223,43,1,True
t.co,3367,27,1,1,2,13,14482,75,7,2,24,15,3367,27,1,1,2,13,14482,75,7,2,24,15,1,True
google.co.in,15209,73,2,1,31,16,0,0,0,0,0,0,207243,321,7,1,152,41,0,0,0,0,0,0,0,True
ok.ru,11912,87,11,5,29,6,43037,367,8,24,178,72,200348,483,11,1,77,59,43037,367,8,24,178,72,1,False
google.com.hk,15448,74,2,1,31,17,0,0,0,0,0,0,207465,322,7,1,152,42,0,0,0,0,0,0,0,True
ebay.com,110661,521,24,43,145,44,55831,634,8,46,336,80,222375,1415,28,58,278,289,55827,634,8,46,336,80,1,True
linkedin.com,26582,242,10,2,17,29,0,0,0,0,0,0,47501,382,21,3,21,62,0,0,0,0,0,0,0,True
amazon.co.jp,134065,263,80,5,43,30,0,0,0,0,0,0,481984,93,18,5,27,7,0,0,0,0,0,0,0,False
microsoft.com,143422,476,20,16,79,67,0,0,0,0,0,0,143251,476,20,16,79,67,0,0,0,0,0,0,0,True
naver.com,115182,643,27,3,256,70,84597,734,9,19,139,269,175711,1342,22,36,192,351,84597,734,9,19,139,269,1,True
imdb.com,143553,740,45,39,234,124,66785,514,9,41,214,123,177367,1199,78,45,366,237,66055,504,9,41,214,118,1,True
xvideos.com,553,18,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
livejasmin.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
tribunnews.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
microsoftonline.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
fandom.com,293748,2702,15,10,1777,376,151372,1775,8,117,821,258,293748,2702,15,10,1777,376,151372,1775,8,117,821,258,1,True
wordpress.com,143854,1292,7,8,224,80,40339,341,9,14,161,46,145017,1302,7,8,224,80,40335,341,9,14,161,46,1,True
github.com,73069,638,3,31,129,92,48145,479,8,36,293,62,82313,695,2,35,142,95,48141,479,8,36,293,62,1,True
xhamster.com,0,0,0,0,0,0,83437,874,9,58,383,180,0,0,0,0,0,0,83437,874,9,58,383,180,1,True
imgur.com,20019,48,7,0,15,2,33204,228,10,16,127,20,4055,57,5,0,1,0,33205,228,10,16,127,20,1,True
google.co.jp,15388,74,2,1,31,17,0,0,0,0,0,0,200723,164,7,1,75,21,0,0,0,0,0,0,0,True
stackoverflow.com,180523,1930,6,0,607,595,287456,2690,9,99,512,692,252900,3055,9,6,1440,748,287456,2690,9,99,512,692,1,True
paypal.com,46163,475,11,2,52,57,0,0,0,0,0,0,45577,469,11,1,50,55,0,0,0,0,0,0,0,True
exosrv.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
google.ru,15514,75,2,1,31,17,0,0,0,0,0,0,207418,323,7,1,152,42,0,0,0,0,0,0,0,True
soso.com,0,0,0,0,0,0,74319,805,8,68,422,66,0,0,0,0,0,0,74319,805,8,68,422,66,1,True
msn.com,26224,215,2,12,41,65,0,0,0,0,0,0,273489,896,11,146,155,114,0,0,0,0,0,0,0,False
hao123.com,0,0,0,0,0,0,90041,496,9,24,167,142,0,0,0,0,0,0,90041,496,9,24,167,142,1,True
popads.net,14548,172,8,21,66,17,18793,127,7,1,34,17,14548,172,8,21,66,17,18793,127,7,1,34,17,1,True
douban.com,13143,133,13,0,12,23,36234,216,8,7,127,23,89122,1284,2,58,265,429,36230,216,8,7,127,23,0,False
zhihu.com,35708,47,4,1,18,1,0,0,0,0,0,0,30249,18,0,0,0,0,0,0,0,0,0,0,0,False
apple.com,53218,564,11,0,86,112,26897,219,9,11,96,45,53218,564,11,0,86,112,26897,219,9,11,96,45,1,True
google.com.br,15428,74,2,1,31,17,0,0,0,0,0,0,207618,322,7,1,152,42,0,0,0,0,0,0,0,True
whatsapp.com,636931,388,14,6,53,94,23431,152,9,5,69,31,651495,387,14,5,53,94,23431,152,9,5,69,31,1,True
google.de,15408,74,2,1,31,17,0,0,0,0,0,0,207359,322,7,1,152,42,0,0,0,0,0,0,0,True
office.com,92741,338,1,6,58,81,32171,231,8,13,109,46,87830,298,1,5,35,73,48017,417,8,13,147,120,1,False
amazon.de,154159,26,10,0,0,0,0,0,0,0,0,0,443690,184,31,12,52,20,0,0,0,0,0,0,0,False
163.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
google.fr,15424,74,2,1,31,17,0,0,0,0,0,0,207372,322,7,1,152,42,0,0,0,0,0,0,0,True
tumblr.com,38726,243,24,2,48,40,14281,59,7,2,27,6,77804,393,30,5,78,18,14282,59,7,2,27,6,1,True
fbcdn.net,105648,176,19,1,84,14,0,0,0,0,0,0,126073,534,15,4,94,53,0,0,0,0,0,0,0,True
okezone.com,155519,1469,33,29,451,385,116491,1148,11,68,465,187,131444,1261,26,8,410,283,116504,1147,11,68,461,187,1,True
detail.tmall.com,6078,41,4,0,11,4,13523,56,7,2,24,5,14678,122,9,0,39,15,13523,56,7,2,24,5,1,True
pinterest.com,69098,54,7,1,4,1,0,0,0,0,0,0,84315,101,11,1,1,0,0,0,0,0,0,0,0,True
xinhuanet.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
amazon.in,383147,417,91,5,95,59,0,0,0,0,0,0,428758,968,102,70,249,146,0,0,0,0,0,0,0,True
adobe.com,75626,72,11,0,29,1,32193,212,9,2,51,72,75626,72,11,0,29,1,32185,212,9,2,51,72,1,False
quora.com,95544,104,10,0,23,20,0,0,0,0,0,0,145687,195,12,0,80,28,0,0,0,0,0,0,0,True
amazon.co.uk,197525,1114,78,6,310,267,0,0,0,0,0,0,409217,190,31,12,53,22,0,0,0,0,0,0,0,False
roblox.com,1558,7,1,0,0,0,0,0,0,0,0,0,1559,7,1,0,0,0,0,0,0,0,0,0,0,True
so.com,350120,107,15,0,24,15,19620,113,9,3,44,15,287203,135,22,1,10,39,19620,113,9,3,44,15,1,True
google.it,15392,74,2,1,31,17,0,0,0,0,0,0,207356,322,7,1,152,42,0,0,0,0,0,0,0,True
pixnet.net,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
google.es,15405,74,2,1,31,17,0,0,0,0,0,0,207370,322,7,1,152,42,0,0,0,0,0,0,0,True
googleusercontent.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
booking.com,242415,744,27,4,135,29,45706,396,9,24,157,30,407021,1876,45,50,356,278,45706,396,9,24,157,30,1,True
dolohen.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
iqiyi.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
thestartmagazine.com,58320,356,18,28,241,2,29495,285,8,29,114,4,18664,48,8,2,17,0,29491,285,8,29,114,4,1,True
