Name,Main Mobile Script tags,Main Mobile Image tags,Main Mobile Div tags,Main Mobile Hyperlink tags,Mini Mobile Script tags,Mini Mobile Image tags,Mini Mobile Div tags,Mini Mobile Hyperlink tags,Main Web Script tags,Main Web Image tags,Main Web Div tags,Main Web Hyperlink tags,Mini Web Script tags,Mini Web Image tags,Mini Web Div tags,Mini Web Hyperlink tags,Transcoded
google.com,2,1,27,13,8,0,13,4,7,1,77,20,8,0,13,4,0
youtube.com,9,3,7,0,8,0,13,4,27,24,261,12,8,0,13,4,0
facebook.com,19,1,84,14,8,0,13,4,15,4,93,52,8,0,13,4,0
baidu.com,0,0,0,0,19,7,44,15,0,0,0,0,19,7,44,15,1
wikipedia.org,4,1,86,320,17,2,72,34,4,1,86,320,16,2,72,33,1
qq.com,16,128,528,846,25,8,109,40,16,128,528,846,25,8,109,40,1
tmall.com,6,0,0,0,8,0,13,4,11,3,91,56,8,0,13,4,0
taobao.com,7,0,2,0,20,16,121,15,15,36,110,24,20,16,121,15,1
yahoo.com,42,26,644,53,18,1,45,30,38,51,339,104,16,0,40,27,1
amazon.com,78,5,40,31,8,0,13,4,85,66,219,154,8,0,13,4,1
vk.com,4,2,33,12,19,2,35,14,18,1,102,37,18,2,35,13,1
sohu.com,10,19,220,320,22,5,62,65,16,103,319,507,22,5,62,65,1
twitter.com,5,3,12,5,8,0,13,4,11,3,202,42,8,0,13,4,0
jd.com,19,0,62,136,22,10,81,56,19,0,62,136,22,10,81,56,1
sina.com.cn,9,4,3,87,20,15,31,61,101,178,827,2052,20,15,31,61,1
weibo.com,6,0,56,5,8,0,13,4,15,1,14,34,8,0,13,4,0
live.com,4,0,0,0,8,0,13,4,4,0,0,0,8,0,13,4,0
360.cn,23,122,172,438,24,31,93,54,23,122,172,438,24,31,93,54,1
instagram.com,13,0,0,0,8,0,13,4,12,0,0,0,8,0,13,4,0
reddit.com,3,2,39,4,17,1,29,7,37,29,549,92,16,1,29,6,1
netflix.com,4,5,76,18,8,0,13,4,6,5,76,18,8,0,13,4,0
login.tmall.com,7,0,0,0,18,2,27,7,8,2,14,2,18,2,27,7,1
blogspot.com,3,42,25,16,28,14,31,8,3,42,25,16,28,14,31,8,1
twitch.tv,11,12,93,13,8,0,13,4,8,0,20,0,8,0,13,4,0
pornhub.com,26,27,323,166,23,15,66,77,29,33,771,323,23,16,66,76,1
yahoo.co.jp,29,6,609,108,8,0,13,4,29,18,118,255,8,0,13,4,0
mail.ru,10,32,88,72,17,9,31,76,65,8,77,37,17,9,31,76,1
yandex.ru,5,2,17,5,16,0,140,78,5,2,17,5,16,0,140,78,1
alipay.com,8,2,4,2,8,0,13,4,3,0,21,21,8,0,13,4,1
pages.tmall.com,4,0,11,4,8,0,13,4,9,0,39,15,8,0,13,4,1
csdn.net,19,1,18,26,19,5,94,59,35,66,458,392,19,5,94,59,1
